4691	100500809	0
338376	5158	0
6340	7329	1
27295	81466	0
10787	125476	0
124905777	124905777	1
207	85440	1
8706	8706	1
950	8819	0
208	4149	1
347688	51802	0
5714	3633	0
124904381	4849	0
51083	51083	1
84991	47	0
285973	285973	1
51744	51744	1
51347	857	0
5562	3685	0
3691	5588	1
116443	5800	0
501	501	1
1609	8360	0
124901221	124901221	1
90701	256987	0
5827	1101	0
3800	9146	0
10331	999	0
3772	3772	1
1021	3603	1
4550	51762	0
63035	79767	0
5087	124902847	0
79899	5594	0
338398	338398	1
51655	124907201	0
6203	80781	0
1562	1562	1
3702	7409	1
113278	414328	0
10971	3040	1
406980	8772	0
54461	3990	0
466	124908473	0
22794	22794	1
3804	9437	0
6511	6511	1
140032	5573	0
26985	7252	0
1019	1741	1
1956	3717	1
3908	7329	0
4564	4564	1
80336	131890	0
1956	8243	1
23293	22794	0
124907577	124907577	1
2690	3691	0
9530	5338	0
124904140	2912	0
1295	1295	1
10971	6548	1
10381	1073	0
146956	146956	1
3725	26056	0
26270	26270	1
54461	8665	1
50848	55589	0
79621	9063	0
283446	283446	1
1755	1755	1
124907639	124907639	1
10000	23381	1
64976	4654	0
5524	573	0
2694	3635	0
124906796	124906796	1
51802	124907174	0
124907332	124907332	1
8760	51802	0
2554	80022	0
4747	2323	0
6184	6184	1
10382	10382	1
1956	5295	1
1956	7428	1
8744	8744	1
23312	1349	0
6100	6100	1
124908282	124908282	1
7172	8309	0
5580	999	1
406884	2012	0
2113	26056	1
123041	27092	0
867	9093	1
29994	10136	0
22977	10277	0
406947	8453	0
5590	867	1
1956	81603	1
1021	23327	0
10131	10131	1
573	2201	0
3480	4352	1
23312	23312	1
5371	5970	1
26272	26830	0
84313	84313	1
114793	114793	1
1025	5775	1
55012	3765	0
4478	6421	1
3039	7532	1
5747	57610	1
2523	124908361	0
9551	9551	1
4137	4311	0
2787	2787	1
8392	4615	0
140679	3171	0
403278	3778	0
64805	64805	1
51733	51733	1
2017	5579	1
51762	6176	0
1824	51429	0
3836	124907585	0
124907239	124907239	1
2878	558	0
1398	3702	1
3082	5579	1
200958	999	1
3459	4690	1
442910	10332	0
3560	645142	0
7011	7514	1
79290	79290	1
219464	101954275	0
3455	9451	0
2948	2948	1
221823	891	0
5774	5788	1
1293	1293	1
3091	6595	1
441531	124907679	0
10489	8065	1
83737	124907456	0
10171	124906796	0
55326	8449	0
138882	407049	0
2885	4352	1
3422	3422	1
10092	10092	1
2639	3101	0
10199	56000	0
253314	124908282	0
4986	60673	0
8065	130	0
10841	23114	0
23001	23001	1
5414	5414	1
8313	8313	1
5569	124908322	0
26118	5295	1
5829	4486	0
2562	2562	1
124908473	124908473	1
25777	26056	0
253314	6777	0
55506	112574	0
124908474	124908474	1
5788	867	1
7223	7223	1
27018	7430	1
51318	55315	0
118672	1056	0
25	7520	1
627	627	1
8905	8905	1
9675	4842	0
22900	120103	0
414328	414328	1
8437	51762	0
53	11040	0
103	7386	0
441024	9551	0
8471	22954	0
100500809	30	0
124907201	124907201	1
5333	5333	1
238	2534	1
5087	9743	0
10728	54984	1
51021	51021	1
8760	6511	0
59	50837	0
5829	5829	1
9992	573	0
729759	64746	0
5971	23708	0
5021	27074	0
4249	4249	1
440153	440153	1
7832	100532736	0
124904145	124904145	1
23557	5833	0
5542	8313	0
57412	57412	1
199857	199857	1
1435	3718	1
8828	23001	0
1613	80176	1
1211	79767	0
861	83737	0
57610	80176	1
124901505	124901505	1
27018	85440	1
376497	376497	1
124907274	124907274	1
116984	340419	0
107984365	255043	0
2787	54429	0
1163	100130302	0
51649	124903595	0
27180	6874	0
30814	3667	0
124900915	3559	0
1937	1937	1
11060	1593	0
170067	170067	1
5272	5272	1
29990	29990	1
5058	5058	1
3800	135112	0
7357	7357	1
124907573	124907573	1
2932	6548	1
8310	60673	0
5970	7010	1
3171	57159	0
2255	124907199	0
1672	406882	0
238	9113	0
135946	6171	0
2169	5829	0
2634	10163	0
2549	5580	1
3236	5800	0
3083	9093	1
200958	100528032	0
4615	2781	0
54145	124907690	0
102800317	102800317	1
3083	441531	0
26248	26248	1
4137	4137	1
5793	999	1
54429	54429	1
6259	113	0
10136	10136	1
56903	9349	0
6330	1045	0
54626	54626	1
390083	5802	0
6612	573	0
3635	9093	1
10113	22977	0
8840	3059	0
5973	124907625	0
22933	22933	1
124907214	1672	0
3667	7852	1
3636	5793	1
7531	7533	1
3897	785	0
10724	10724	1
124907581	658	0
8341	117581	0
54541	54541	1
6675	6675	1
2554	5580	1
79365	79365	1
3678	3678	1
11060	23114	1
3083	51808	0
64319	64319	1
1144	1144	1
28964	28964	1
387680	6778	0
26270	116443	0
84441	1237	0
5897	5897	1
4352	7010	1
133	133	1
3459	3716	1
355	573	1
4301	4301	1
208	124908322	0
124905802	23205	0
238	1392	0
390260	390260	1
30	30	1
7791	7791	1
84451	84451	1
5429	5562	0
3727	7520	1
2882	2882	1
2885	84105	1
1021	5998	1
10048	5774	1
2495	8665	1
1268	5295	1
9700	2834	0
51802	441272	0
9075	3269	0
1200	2099	1
8800	6235	0
3141	22794	0
124907213	8449	0
826	6915	0
2017	5295	1
10806	1442	1
5747	5782	1
93	93	1
10623	10623	1
6143	6143	1
124907694	7059	0
3480	7006	1
122809	7520	0
7324	7324	1
10728	7514	1
9075	9075	1
5024	5024	1
390084	89869	0
53904	5582	0
8660	9978	1
51447	10933	0
10728	4609	1
124907188	124907188	1
6448	6448	1
1392	9743	0
5364	8840	0
10207	9229	1
4191	4191	1
4731	4731	1
9246	55650	0
3850	55070	0
10054	10054	1
9451	9451	1
51495	51495	1
3040	60	1
6581	6581	1
343702	343702	1
2994	390084	0
2885	7316	1
25	8202	0
3091	7011	1
4853	4853	1
5796	124907595	0
123041	123041	1
171389	124901505	0
466	466	1
9577	9577	1
8309	54431	0
1144	6915	0
1504	8737	0
124907578	10956	0
79317	7529	0
6455	3620	0
207	7391	1
59	7430	1
1956	4352	1
3832	124538	0
5347	5747	1
23462	1263	0
55845	3845	0
3708	3708	1
124908485	124908485	1
84441	84441	1
55432	55432	1
2037	57666	0
146	146	1
4804	5747	1
862	862	1
57016	124907253	0
4035	9743	1
8996	7011	0
10381	10381	1
11146	6654	1
160851	160851	1
10445	10971	1
816	8573	1
406888	407051	0
4084	5371	1
916	8277	0
51808	51808	1
124905831	195814	0
100526794	4478	0
124908477	124908477	1
140032	119678	0
3346	124906796	0
60673	114793	0
338382	338382	1
1740	4986	0
23545	23545	1
1021	4035	1
857	23382	0
113457	8660	1
64283	64283	1
4716	84219	0
401666	8437	0
124904145	6210	0
1071	1071	1
23353	54840	0
23557	5782	1
3643	7006	1
2885	30011	1
120103	120103	1
124907216	919	0
124907961	5371	0
124908341	124908341	1
79290	124905791	0
3077	124907306	0
113457	10791	0
5257	5257	1
253430	3832	0
3551	8045	1
2932	6772	1
3804	3804	1
5524	9246	0
6737	406980	0
10893	84733	0
84309	84309	1
10347	127281	0
150684	3560	1
124905770	124905770	1
54788	54788	1
406882	406882	1
4736	4736	1
9500	2017	0
124904381	124904381	1
1363	1363	1
2885	3082	1
100532731	100532731	1
8633	9063	0
3625	8555	0
6259	6259	1
3990	3990	1
414328	102800317	0
1241	1241	1
10332	2153	0
257313	257313	1
23557	3636	1
83660	10484	0
2994	2994	1
100913187	100913187	1
2531	11168	0
1176	29889	0
30011	80176	1
2779	2779	1
57016	9616	0
124907664	124907664	1
30011	5580	1
54904	8761	0
3625	6199	0
4055	100507027	0
2678	2678	1
112574	112574	1
3603	11035	0
23114	6340	1
2997	2560	0
6431	7533	0
8689	10163	0
27295	27295	1
1146	79621	0
58	84950	0
10870	10870	1
10907	283092	0
6595	7827	0
103	103	1
2862	5297	0
10888	6448	0
57038	57038	1
387680	7051	0
124908489	124908489	1
114609	8065	1
341418	341418	1
658	658	1
84063	84063	1
207	60	1
57666	785	0
2357	2357	1
10841	341	0
5371	80198	1
124907246	55651	0
64805	5506	0
3294	51655	0
9266	3040	0
5335	3040	0
9466	9466	1
81439	81439	1
284486	124538	0
3716	4574	0
3083	1340	0
23382	124907185	0
10445	5702	0
100526794	100526794	1
5335	22900	0
84265	84265	1
387680	208	0
22977	124907625	0
10588	10588	1
116028	116028	1
51135	51135	1
94274	8737	0
368	8453	0
123876	123876	1
5371	1910	0
406884	10156	0
51274	51274	1
5528	978	0
6129	6129	1
51744	55697	0
84105	6258	0
27180	1749	0
54738	54738	1
124904986	6675	0
2113	5347	1
1593	1593	1
64926	30	0
403274	403274	1
1268	8243	1
11285	11285	1
124907718	124907718	1
124907324	124907324	1
27092	27092	1
8831	26301	0
10572	10572	1
84706	84706	1
1613	6654	1
2885	7006	1
57159	57292	0
11001	3667	0
1613	5583	1
1237	9616	0
10762	5688	0
5781	6774	1
